minute,player_id,opponent_strength,rest_days,WBGT,altitude,sprints,pressures,xG_flow,EVPM_ground_truth,cumulative_load,stamina_index,injury_prob,injury_event
1,1,0.6912842222354214,4,33.291598557836934,2461.9054086784395,0,0,0.0020702762950784125,0.09761637840301263,0,0.995,5.000000000000005e-06,0
1,2,0.612386217870421,3,32.205327244205584,1505.041347304336,0,0,0.008545406388464422,0.4408052861676935,0,0.995,5.000000000000005e-06,0
1,3,0.8659714739837626,2,28.22384495039081,1957.0578910563008,1,3,0.010987347884728296,0.5788836809882053,4,0.9640539988913933,3.594600110860669e-05,0
1,4,0.9296618762926085,4,34.695056034620805,2043.2656912734092,0,0,0.006886473525040744,0.31475533182881466,0,0.995,5.000000000000005e-06,0
1,5,0.5026122225727034,4,32.81584190288251,2053.4293890648996,0,2,-0.004975818145988347,-0.2547703395285872,2,0.9782231140631639,2.1776885936836133e-05,0
1,6,0.86172547936526,2,32.692221154875895,1875.5139359129194,0,2,0.005526107215160429,0.2796639772975335,2,0.9789595000253731,2.104049997462687e-05,0
1,7,0.6178907367636906,4,31.305347258763202,2470.9169681670173,1,0,0.00011769073939233896,0.033393502507190045,1,0.9859276313377896,1.4072368662210399e-05,0
1,8,0.8615778671185447,2,30.334313019664982,2302.526505329696,0,0,-0.007080018026054094,-0.36553282332062015,0,0.995,5.000000000000005e-06,0
1,9,0.5848872128536815,5,28.253870975473063,1713.0880650190843,0,0,-0.005498990989353276,-0.2585529758509682,0,0.995,5.000000000000005e-06,0
1,10,0.6020208271398613,2,33.613206105116525,1770.2729523213002,0,1,-0.002884946309000563,-0.15314207851033892,1,0.9870981334848458,1.2901866515154237e-05,0
1,11,0.5154079104080997,5,31.995526685493502,1917.6571101082318,1,2,-0.0021253781732765496,-0.09774061306355761,3,0.9708953993337026,2.9104600666297386e-05,0
1,12,0.5571235220778998,2,32.57679677210688,1850.9973756930194,2,1,0.0027621875852037996,0.17309741091141828,3,0.9711209767142098,2.8879023285790172e-05,0
1,13,0.6082470663006269,3,30.80867228044088,1633.5865946465383,2,1,-0.0028004763980573355,-0.13241303405840862,3,0.9729558787479885,2.70441212520115e-05,0
1,14,0.8585923225363776,2,28.90073901960597,1776.0186167576976,0,1,0.007922847120866609,0.39320600439162434,1,0.987557888864524,1.2442111135475997e-05,0
1,15,0.6352813505814918,4,28.054260194666277,2164.9299653246294,0,1,0.001097351444918773,0.05410735683533441,1,0.9868647140498841,1.3135285950115927e-05,0
1,16,0.6749185111717944,3,32.764153826321376,1502.9428570293317,0,1,-0.0068267130976028935,-0.33030644702979634,1,0.9877176989033092,1.2282301096690817e-05,0
1,17,0.6245360057433067,5,29.68554074059182,2241.4719547437307,0,1,-0.00737487720953603,-0.36366647568714594,1,0.9865485020164534,1.3451497983546613e-05,0
1,18,0.6960546799044744,5,28.815720432214363,2412.3188078364055,2,0,0.004233472863274752,0.22581847412771244,2,0.9775875806822115,2.241241931778848e-05,0
1,19,0.8005716030515633,4,34.784340161266684,2485.587794970941,2,1,-0.005218924343193215,-0.25642694499232993,3,0.9666511711817943,3.334882881820567e-05,0
1,20,0.6110483459871587,2,29.221995973689662,2357.242625549322,0,4,0.005407285227124247,0.23331004332734775,4,0.9604532606061296,3.9546739393870434e-05,0
1,21,0.9640601498118158,3,31.93440623325371,1914.9079744893372,1,3,-0.0027372223092390676,-0.11661596260849198,4,0.9629069737107838,3.709302628921618e-05,0
1,22,0.6752094649903433,5,34.681555763620125,1822.109643709643,0,1,-0.003709991709609929,-0.18712007872585606,1,0.9868876251362187,1.311237486378125e-05,0
2,1,0.6044888336279626,4,34.63954099485407,1571.5885662356018,2,4,0.004702347181035731,0.2572409451760123,6,0.9344821759611566,6.551782403884343e-05,0
2,2,0.9205419023886543,4,29.076056315357416,1747.8861063060415,2,0,0.003817952130995719,0.22524793608994687,2,0.9755387691619415,2.4461230838058512e-05,0
2,3,0.6446227922970696,3,31.0098695954048,1720.3252808505854,1,0,-0.0005207315917725168,-0.027645868777684792,5,0.9513174986142415,4.868250138575847e-05,0
2,4,0.7691160282893125,4,34.7087086998717,1778.4676057704128,0,1,0.006891799915997091,0.3482960462267854,1,0.9814439630139911,1.8556036986008938e-05,0
2,5,0.5064015901509269,3,29.508082086779204,1891.7823354751579,1,1,0.0037431694835455918,0.19699763021043787,4,0.9564462281263277,4.3553771873672266e-05,0
2,6,0.6950908476319698,3,29.34192687638242,1872.0716681298268,1,0,0.004671970469762943,0.24970284516210942,3,0.9659392500380597,3.406074996194031e-05,0
2,7,0.6877101450002858,4,29.562654886262692,1968.4716381746416,0,2,0.000360195915163259,0.014059948258103788,3,0.9627828940133689,3.7217105986631085e-05,0
2,8,0.5205249058909163,5,34.50747721273093,1627.1045250045643,0,0,0.0072715343642914395,0.371560293951695,0,0.99,1.000000000000001e-05,0
2,9,0.5185679014251356,2,28.463995004107726,2178.476074883562,1,0,-0.002473544753051095,-0.10475585548821233,1,0.9827484367724145,1.7251563227585476e-05,0
2,10,0.8761743793970395,5,29.084688195004748,2076.1228855432564,1,0,0.002988599262145045,0.1684576502469202,2,0.9741962669696915,2.5803733030308474e-05,0
2,11,0.6639198459055806,2,33.1258903948032,1519.0352553752411,0,2,0.0023356373712165313,0.12777561372172228,5,0.949825665556171,5.017433444382902e-05,0
2,12,0.8825961293000647,3,30.610417505889846,1817.9440442208675,0,2,-0.01083370976354939,-0.540618396648974,5,0.9502016278570163,4.979837214298366e-05,0
2,13,0.8412052910596793,5,32.224343220648684,2473.108021892971,1,1,0.003785044686259188,0.19439753679342228,5,0.9532597979133142,4.6740202086685835e-05,0
2,14,0.5222571320554039,2,34.26594871935356,2340.5536648158486,1,0,0.009462119458758161,0.49988889133338094,2,0.975115777729048,2.4884222270951994e-05,0
2,15,0.8700201151904442,5,34.30182076563955,1519.0188546633824,1,1,0.00858770683706131,0.43688286814910055,3,0.9655941421496523,3.440585785034766e-05,0
2,16,0.781681901411632,2,30.975157354418762,2334.0898622855575,1,0,-0.008955020936154728,-0.42524157581508515,2,0.9754353978066184,2.4564602193381634e-05,0
2,17,0.5388272922472894,3,30.381081893152206,2235.0724516902847,1,1,-0.0034291469763692703,-0.16906216130375876,3,0.9646455060493601,3.5354493950639946e-05,0
2,18,0.6960810107874571,2,33.08459772538595,1596.8183733105725,0,0,0.0009982827284958863,0.04324152308321548,2,0.9725875806822115,2.7412419317788483e-05,0
2,19,0.6232364755264195,5,32.212809032628094,1679.2609160705726,0,1,-0.0036663359631238747,-0.18412044099658317,4,0.9522015615757258,4.7798438424274226e-05,0
2,20,0.8652262454946754,2,30.900805616469928,2041.0621005297091,0,1,0.006050800556508521,0.3198237490996042,5,0.946816575757662,5.318342424233802e-05,0
2,21,0.5931378671844567,4,30.18569739029813,2054.8365995472177,1,1,0.002651294525485591,0.1429103792071396,6,0.9418604605661757,5.813953943382433e-05,0
